Group,Item,Status,Priority,Sprint,Agent/Owner,Description,Dependency,GitHub Link,Due Date,Notes
Sprint 0 - Foundation And Decisions,Confirm client launch decisions,Not Started,Critical,Sprint 0,Product Architecture Agent,"Shipping-only launch is confirmed. Still confirm launch product count, final payment gateway/provider, database choice, and whether POS is needed on day one.",None,,,
Sprint 0 - Foundation And Decisions,Create and protect Sprint 0 branch,Done,High,Sprint 0,DevOps And QA Agent,"Create sprint-0-foundation branch and push it to GitHub.",None,https://github.com/TheGamePond/TheGamePond/tree/sprint-0-foundation,,Completed locally and pushed.
Sprint 0 - Foundation And Decisions,Add planning docs to repository,Done,High,Sprint 0,Product Architecture Agent,"Add architecture decision, lean plan, sprint plan, handoff, and agent docs under docs/.",None,https://github.com/TheGamePond/TheGamePond/tree/sprint-0-foundation/docs,,Completed in Sprint 0 branch.
Sprint 0 - Foundation And Decisions,Install local .NET SDK and verify build,Done,High,Sprint 0,DevOps And QA Agent,"Install repo-local .NET 8 SDK, add NuGet.Config, and verify the solution builds.",None,,,
Sprint 0 - Foundation And Decisions,Add Game Pond brand assets,Done,High,Sprint 0,Brand And UI Agent,"Copy logo and color chart into wwwroot/images/brand and use the real palette in the app shell.",None,,,
Sprint 0 - Foundation And Decisions,Create branded app shell,Done,High,Sprint 0,Brand And UI Agent,"Update layout, navbar, home page, and CSS to use The Game Pond brand.",Brand assets,,,
Sprint 0 - Foundation And Decisions,Open pull request for Sprint 0,Not Started,High,Sprint 0,DevOps And QA Agent,"Open PR from sprint-0-foundation to master. Connector could not create PR automatically because GitHub returned 403.",Sprint 0 branch pushed,https://github.com/TheGamePond/TheGamePond/pull/new/sprint-0-foundation,,
Sprint 1 - Product And Inventory Admin,Add EF Core packages,Not Started,Critical,Sprint 1,Database And EF Core Agent,"Add EF Core provider package for PostgreSQL or SQL Server Express based on final database choice.",Database choice,,,
Sprint 1 - Product And Inventory Admin,Create ApplicationDbContext,Not Started,Critical,Sprint 1,Database And EF Core Agent,"Create the application database context and register it in Program.cs.",EF Core packages,,,
Sprint 1 - Product And Inventory Admin,Add ASP.NET Core Identity,Not Started,Critical,Sprint 1,Backend And Admin Agent,"Configure Identity, roles, login/logout, and initial owner/admin/staff roles.",ApplicationDbContext,,,
Sprint 1 - Product And Inventory Admin,Create product entities,Not Started,Critical,Sprint 1,Database And EF Core Agent,"Create Product, ProductCategory, ProductImage, ConditionGrade, and related entity models.",ApplicationDbContext,,,
Sprint 1 - Product And Inventory Admin,Create inventory entities,Not Started,Critical,Sprint 1,Database And EF Core Agent,"Create InventoryItem and StockAdjustment models with quantity on hand, low-stock threshold, SKU, barcode, and audit fields.",Product entities,,,
Sprint 1 - Product And Inventory Admin,Create first EF migration,Not Started,High,Sprint 1,Database And EF Core Agent,"Generate and validate the first database migration for Identity, products, and inventory.",Entities created,,,
Sprint 1 - Product And Inventory Admin,Build product admin list,Not Started,High,Sprint 1,Backend And Admin Agent,"Create admin product list with search and basic filtering.",Product entities,,,
Sprint 1 - Product And Inventory Admin,Build product create/edit form,Not Started,High,Sprint 1,Backend And Admin Agent,"Create Razor forms for adding and editing products with validation.",Product admin list,,,
Sprint 1 - Product And Inventory Admin,Build product image upload,Not Started,High,Sprint 1,Backend And Admin Agent,"Support local product image upload, validation, and preview.",Product create/edit form,,,
Sprint 1 - Product And Inventory Admin,Build stock adjustment workflow,Not Started,High,Sprint 1,Backend And Admin Agent,"Allow staff to add, remove, and correct stock while recording a StockAdjustment entry.",Inventory entities,,,
Sprint 1 - Product And Inventory Admin,Add low-stock admin alert,Not Started,Medium,Sprint 1,Backend And Admin Agent,"Show products below threshold in the admin dashboard or inventory page.",Stock adjustment workflow,,,
Sprint 2 - Storefront And Cart,Build storefront product query,Not Started,High,Sprint 2,Storefront Agent,"Create query/service for active in-stock products and categories.",Sprint 1 product data,,,
Sprint 2 - Storefront And Cart,Build shop page,Not Started,High,Sprint 2,Storefront Agent,"Create shop page with product cards, category filter, and basic search.",Storefront product query,,,
Sprint 2 - Storefront And Cart,Build product detail page,Not Started,High,Sprint 2,Storefront Agent,"Create product detail page with image, price, condition, SKU, stock status, and add-to-cart button.",Shop page,,,
